M4 logit (natural),M4 logit (balanced),M4 logit (smote),RF (natural),RF (balanced),GBM (natural),XGB (natural),XGB (scale_pos_weight)
0.2220444436195022,0.4715637308097511,0.6032467566120333,0.16403164127359543,0.40854788986473445,0.10073988396646812,0.08626382388174533,0.2595222070813179
0.08412704281210409,0.2773185459850166,0.24389933274241624,0.11890731081617709,0.2266924916568968,0.03529414937355567,0.057371889054775235,0.11783214174211025
0.15908711526336233,0.5485368420592291,0.44693945247630423,0.10624446470727163,0.29912831844868737,0.16279910177773982,0.13125807456672192,0.33588471114635465
0.2448194697035452,0.6963234550308907,0.6601401472395615,0.38058015004510876,0.635303129047133,0.6712879769320763,0.559091317653656,0.823763781785965
0.16108903287792714,0.5308667722468425,0.4855037929785909,0.19816860281395304,0.31925312087518276,0.07312356136082003,0.10365344695746899,0.15388893261551856
0.0472856279751841,0.2545698914798124,0.1549662289244839,0.14334556797816947,0.3613904570978062,0.24541456560218503,0.28556862398982047,0.5512442708015441
0.3142880017395021,0.7638555548357239,0.703722208210642,0.2729396719544157,0.5176475766521771,0.19041538514884232,0.2582273781299591,0.5163896083831787
0.257275379014415,0.5691048056242957,0.6655527340480231,0.23753422048242748,0.5217631072806831,0.24338340600039263,0.2784897148609161,0.6234256088733673
0.15187378518709743,0.5550997173337019,0.4244090782105209,0.08462446543688537,0.22197165866547675,0.06495916554312262,0.07713687755167484,0.23324149958789347
0.3677085852222137,0.662203859960977,0.8002702317719862,0.3577478639900547,0.6100800891126246,0.4150089053269677,0.45313119441270827,0.7602079331874847
0.04288040146923859,0.25565192302949896,0.11888138412660251,0.08640972641041011,0.19595258939541552,0.03608610017825346,0.042472345754504204,0.06791682131588458
0.043717127458459716,0.17620200123620117,0.11828951994441703,0.10363639629250095,0.20621405106568388,0.022976102101427802,0.05875417646020651,0.07427658475935459
0.2257270031843681,0.49371386939335515,0.6170895319574506,0.2751995757767629,0.4243789009321367,0.09159696686435968,0.13779453188180923,0.19050550535321237
0.09845862028753168,0.2920689192768378,0.3272791235477651,0.06293543763480301,0.2285634510045013,0.05138368176068496,0.06911759115755559,0.22259072363376617
0.11099425104747951,0.31878879523012,0.3631567468539695,0.0905499510844324,0.28933596249986593,0.0651240294139155,0.0838414967060089,0.24706477522850037
0.0850919706122453,0.411799657719334,0.25874980185212154,0.13166390751138718,0.3678384425588295,0.09335909567349514,0.0990146517753601,0.33319603502750395
0.04753946638720939,0.27033854536215407,0.1428901569714715,0.08833040167482963,0.23506911922105983,0.039982550444402694,0.02546412805095315,0.06725554093718529
0.048394208049796904,0.19616863659088585,0.1271091588682609,0.13610144085533066,0.26404074717827614,0.04414030153589375,0.06237723156809807,0.13787158578634262
0.025868644461539848,0.17220858947936604,0.06624585525696251,0.08355675048641413,0.14135804898693666,0.02684289504687944,0.020225233864039183,0.01751207383349538
0.1601384195893129,0.3972915343301212,0.473787539108404,0.11046779222259431,0.373454229999524,0.09795582305651993,0.0769284125417471,0.22935689091682435
